timestamp,motor_pwm_sent,servo_angle_sent,rgb_frame,depth_frame,detections_file
18:22:04.763,0,80,rgb/sample_000001.jpg,depth/sample_000001.png,detections/sample_000001.json
18:22:04.989,0,80,rgb/sample_000002.jpg,depth/sample_000002.png,detections/sample_000002.json
18:22:05.214,0,80,rgb/sample_000003.jpg,depth/sample_000003.png,detections/sample_000003.json
18:22:05.911,0,80,rgb/sample_000004.jpg,depth/sample_000004.png,detections/sample_000004.json
18:22:07.245,0,80,rgb/sample_000005.jpg,depth/sample_000005.png,detections/sample_000005.json
18:22:07.583,0,80,rgb/sample_000006.jpg,depth/sample_000006.png,detections/sample_000006.json
18:22:07.833,0,80,rgb/sample_000007.jpg,depth/sample_000007.png,detections/sample_000007.json
18:22:08.096,0,80,rgb/sample_000008.jpg,depth/sample_000008.png,detections/sample_000008.json
18:22:08.613,0,80,rgb/sample_000009.jpg,depth/sample_000009.png,detections/sample_000009.json
18:22:08.878,0,80,rgb/sample_000010.jpg,depth/sample_000010.png,detections/sample_000010.json
18:22:09.114,0,80,rgb/sample_000011.jpg,depth/sample_000011.png,detections/sample_000011.json
18:22:09.364,0,80,rgb/sample_000012.jpg,depth/sample_000012.png,detections/sample_000012.json
18:22:10.023,0,80,rgb/sample_000013.jpg,depth/sample_000013.png,detections/sample_000013.json
18:22:10.294,0,80,rgb/sample_000014.jpg,depth/sample_000014.png,detections/sample_000014.json
18:22:10.546,0,80,rgb/sample_000015.jpg,depth/sample_000015.png,detections/sample_000015.json
18:22:10.757,0,80,rgb/sample_000016.jpg,depth/sample_000016.png,detections/sample_000016.json
18:22:11.281,0,80,rgb/sample_000017.jpg,depth/sample_000017.png,detections/sample_000017.json
18:22:11.539,0,80,rgb/sample_000018.jpg,depth/sample_000018.png,detections/sample_000018.json
18:22:11.773,0,80,rgb/sample_000019.jpg,depth/sample_000019.png,detections/sample_000019.json
18:22:12.000,0,80,rgb/sample_000020.jpg,depth/sample_000020.png,detections/sample_000020.json
18:22:12.568,0,80,rgb/sample_000021.jpg,depth/sample_000021.png,detections/sample_000021.json
18:22:12.852,0,80,rgb/sample_000022.jpg,depth/sample_000022.png,detections/sample_000022.json
18:22:13.099,0,80,rgb/sample_000023.jpg,depth/sample_000023.png,detections/sample_000023.json
18:22:13.338,0,80,rgb/sample_000024.jpg,depth/sample_000024.png,detections/sample_000024.json
18:22:13.561,0,80,rgb/sample_000025.jpg,depth/sample_000025.png,detections/sample_000025.json
18:22:14.105,0,80,rgb/sample_000026.jpg,depth/sample_000026.png,detections/sample_000026.json
18:22:14.410,0,80,rgb/sample_000027.jpg,depth/sample_000027.png,detections/sample_000027.json
18:22:14.691,0,80,rgb/sample_000028.jpg,depth/sample_000028.png,detections/sample_000028.json
18:22:14.887,0,80,rgb/sample_000029.jpg,depth/sample_000029.png,detections/sample_000029.json
18:22:15.533,0,80,rgb/sample_000030.jpg,depth/sample_000030.png,detections/sample_000030.json
18:22:15.814,0,80,rgb/sample_000031.jpg,depth/sample_000031.png,detections/sample_000031.json
18:22:16.167,0,80,rgb/sample_000032.jpg,depth/sample_000032.png,detections/sample_000032.json
18:22:16.700,0,80,rgb/sample_000033.jpg,depth/sample_000033.png,detections/sample_000033.json
18:22:16.919,0,80,rgb/sample_000034.jpg,depth/sample_000034.png,detections/sample_000034.json
18:22:17.198,0,80,rgb/sample_000035.jpg,depth/sample_000035.png,detections/sample_000035.json
18:22:17.476,0,80,rgb/sample_000036.jpg,depth/sample_000036.png,detections/sample_000036.json
18:22:18.125,0,80,rgb/sample_000037.jpg,depth/sample_000037.png,detections/sample_000037.json
18:22:18.385,0,80,rgb/sample_000038.jpg,depth/sample_000038.png,detections/sample_000038.json
18:22:18.703,0,80,rgb/sample_000039.jpg,depth/sample_000039.png,detections/sample_000039.json
18:22:18.978,0,80,rgb/sample_000040.jpg,depth/sample_000040.png,detections/sample_000040.json
18:22:19.520,0,80,rgb/sample_000041.jpg,depth/sample_000041.png,detections/sample_000041.json
18:22:19.781,0,80,rgb/sample_000042.jpg,depth/sample_000042.png,detections/sample_000042.json
18:22:19.991,0,80,rgb/sample_000043.jpg,depth/sample_000043.png,detections/sample_000043.json
18:22:20.248,0,80,rgb/sample_000044.jpg,depth/sample_000044.png,detections/sample_000044.json
18:22:20.917,0,80,rgb/sample_000045.jpg,depth/sample_000045.png,detections/sample_000045.json
18:22:21.184,0,80,rgb/sample_000046.jpg,depth/sample_000046.png,detections/sample_000046.json
18:22:21.446,0,80,rgb/sample_000047.jpg,depth/sample_000047.png,detections/sample_000047.json
18:22:21.659,0,80,rgb/sample_000048.jpg,depth/sample_000048.png,detections/sample_000048.json
18:22:22.459,0,80,rgb/sample_000049.jpg,depth/sample_000049.png,detections/sample_000049.json
18:22:22.720,0,80,rgb/sample_000050.jpg,depth/sample_000050.png,detections/sample_000050.json
