timestamp,motor_pwm_sent,servo_angle_sent,camera_frame
16:51:35.511,0,80,frames/frame_000001.jpg
16:51:35.679,0,80,frames/frame_000002.jpg
16:51:35.884,0,80,frames/frame_000003.jpg
16:51:36.088,0,80,frames/frame_000004.jpg
16:51:36.283,0,80,frames/frame_000005.jpg
16:51:36.919,0,80,frames/frame_000006.jpg
16:51:36.961,0,80,frames/frame_000007.jpg
16:51:37.110,0,80,frames/frame_000008.jpg
16:51:37.278,0,80,frames/frame_000009.jpg
16:51:37.483,0,80,frames/frame_000010.jpg
16:51:37.683,0,80,frames/frame_000011.jpg
16:51:38.143,0,80,frames/frame_000012.jpg
16:51:38.192,0,80,frames/frame_000013.jpg
16:51:38.281,0,80,frames/frame_000014.jpg
16:51:38.477,0,80,frames/frame_000015.jpg
16:51:38.682,0,80,frames/frame_000016.jpg
16:51:38.886,0,80,frames/frame_000017.jpg
16:51:39.086,0,80,frames/frame_000018.jpg
16:51:39.578,0,80,frames/frame_000019.jpg
16:51:39.616,0,80,frames/frame_000020.jpg
16:51:39.682,0,80,frames/frame_000021.jpg
16:51:39.885,0,80,frames/frame_000022.jpg
16:51:40.082,0,80,frames/frame_000023.jpg
16:51:40.283,0,80,frames/frame_000024.jpg
16:51:40.909,0,80,frames/frame_000025.jpg
16:51:40.949,0,80,frames/frame_000026.jpg
16:51:41.093,0,80,frames/frame_000027.jpg
16:51:41.294,0,80,frames/frame_000028.jpg
16:51:41.496,0,80,frames/frame_000029.jpg
16:51:41.682,0,80,frames/frame_000030.jpg
16:51:42.131,0,80,frames/frame_000031.jpg
16:51:42.170,0,82,frames/frame_000032.jpg
16:51:42.275,0,90,frames/frame_000033.jpg
16:51:42.481,0,90,frames/frame_000034.jpg
16:51:42.681,0,66,frames/frame_000035.jpg
16:51:42.875,0,45,frames/frame_000036.jpg
16:51:43.081,0,81,frames/frame_000037.jpg
16:51:43.571,0,80,frames/frame_000038.jpg
16:51:43.612,23,80,frames/frame_000039.jpg
16:51:43.679,62,80,frames/frame_000040.jpg
16:51:43.883,116,80,frames/frame_000041.jpg
16:51:44.079,0,80,frames/frame_000042.jpg
16:51:44.282,0,80,frames/frame_000043.jpg
16:51:44.801,0,80,frames/frame_000044.jpg
16:51:44.840,0,80,frames/frame_000045.jpg
16:51:44.880,0,80,frames/frame_000046.jpg
16:51:45.085,0,80,frames/frame_000047.jpg
16:51:45.336,-78,80,frames/frame_000048.jpg
16:51:45.494,-110,80,frames/frame_000049.jpg
16:51:45.688,0,80,frames/frame_000050.jpg
16:51:46.358,0,80,frames/frame_000051.jpg
16:51:46.510,0,80,frames/frame_000052.jpg
16:51:47.796,0,80,frames/frame_000053.jpg
16:51:47.854,0,80,frames/frame_000054.jpg
16:51:48.005,0,80,frames/frame_000055.jpg
16:51:48.196,0,80,frames/frame_000056.jpg
16:51:48.416,0,80,frames/frame_000057.jpg
16:51:48.483,0,80,frames/frame_000058.jpg
16:51:48.674,0,80,frames/frame_000059.jpg
16:51:49.236,0,80,frames/frame_000060.jpg
16:51:49.288,0,80,frames/frame_000061.jpg
16:51:49.494,0,80,frames/frame_000062.jpg
16:51:49.695,0,80,frames/frame_000063.jpg
16:51:49.895,0,80,frames/frame_000064.jpg
16:51:50.524,0,80,frames/frame_000065.jpg
16:51:50.576,0,80,frames/frame_000066.jpg
16:51:50.690,0,80,frames/frame_000067.jpg
16:51:50.878,0,80,frames/frame_000068.jpg
