timestamp,motor_pwm_sent,servo_angle_sent,camera_frame
15:06:31.525,0,80,
15:06:31.537,0,80,
15:06:31.655,0,80,
15:06:31.849,0,80,
15:06:32.068,0,80,
15:06:32.273,0,80,
15:06:32.477,0,80,
15:06:33.095,0,80,
15:06:33.095,0,80,
15:06:33.098,0,80,
15:06:33.299,0,80,
15:06:33.505,0,80,
15:06:33.715,0,80,
15:06:33.917,0,80,
15:06:34.446,0,80,
15:06:34.609,40,90,
15:06:34.613,76,99,
15:06:34.747,95,107,
15:06:34.969,102,108,
15:06:35.180,104,110,
15:06:35.386,78,115,
15:06:35.736,0,88,
15:06:36.041,0,80,
15:06:36.043,0,82,
15:06:36.218,0,109,
15:06:36.426,8,115,
15:06:36.634,12,115,
15:06:36.838,13,115,
15:06:37.075,13,115,
15:06:37.376,13,115,
15:06:37.581,0,80,
15:06:37.659,0,80,
15:06:37.866,0,69,
15:06:38.074,0,45,
15:06:38.294,0,45,
15:06:38.913,0,45,
15:06:38.915,0,50,
15:06:38.916,0,81,
15:06:39.096,0,104,
15:06:39.310,0,115,
15:06:39.531,0,115,
15:06:39.733,3,115,
15:06:40.550,5,115,
15:06:40.552,7,115,
15:06:40.554,7,115,
15:06:40.579,8,115,
15:06:40.782,8,115,
15:06:40.986,8,115,
15:06:41.267,9,115,
15:06:41.393,16,100,
15:06:42.086,0,61,
15:06:42.089,0,45,
15:06:42.090,0,45,
15:06:42.291,0,45,
15:06:42.495,-3,45,
15:06:42.648,0,56,
15:06:42.858,0,85,
15:06:43.417,3,115,
15:06:43.419,6,115,
15:06:43.490,6,115,
15:06:43.723,6,115,
15:06:43.901,12,97,
15:06:44.106,5,58,
15:06:44.314,0,45,
15:06:44.951,0,45,
15:06:44.962,0,45,
15:06:44.963,0,45,
15:06:45.154,0,45,
15:06:45.358,7,78,
15:06:45.565,12,102,
15:06:45.771,13,115,
15:06:46.354,13,115,
15:06:46.356,13,115,
15:06:46.607,13,115,
15:06:46.618,0,92,
15:06:46.826,0,80,
15:06:47.032,0,80,
15:06:47.240,0,80,
15:06:47.458,0,80,
15:06:48.247,0,80,
15:06:48.250,0,80,
15:06:48.252,0,80,
15:06:48.284,0,80,
15:06:48.490,0,80,
15:06:48.698,0,80,
15:06:48.898,7,76,
15:06:49.105,10,45,
15:06:49.381,8,45,
15:06:49.764,7,45,
15:06:49.767,8,45,
15:06:49.930,5,76,
15:06:50.137,10,98,
15:06:50.375,13,108,
15:06:50.542,11,115,
15:06:51.202,17,115,
15:06:51.202,19,115,
15:06:51.204,0,104,
15:06:51.353,0,80,
15:06:51.710,-12,82,
15:06:51.758,-88,93,
15:06:51.959,-104,109,
15:06:52.162,-28,88,
15:06:52.534,0,80,
15:06:52.736,-14,77,
15:06:52.778,-82,56,
15:06:53.042,0,80,
15:06:53.197,0,80,
15:06:53.402,0,80,
15:06:53.611,0,80,
15:06:54.066,0,80,
15:06:54.069,0,80,
15:06:54.234,0,80,
15:06:54.476,0,80,
15:06:54.661,114,80,
15:06:54.885,248,80,
15:06:55.192,255,80,
15:06:55.603,197,80,
15:06:55.605,70,80,
15:06:55.703,0,80,
15:06:55.912,0,80,
15:06:56.118,-31,80,
15:06:56.332,-165,80,
15:06:56.832,-255,80,
15:06:56.834,-127,80,
15:06:57.036,0,80,
15:06:57.171,0,80,
15:06:57.385,0,80,
15:06:57.590,0,80,
15:06:57.804,0,80,
15:06:58.170,0,112,
15:06:58.226,39,115,
15:06:58.472,39,115,
15:06:58.633,33,115,
15:06:58.843,12,115,
15:06:59.051,8,115,
15:06:59.274,6,115,
15:06:59.699,0,115,
15:06:59.700,0,115,
15:06:59.900,0,115,
15:07:00.090,0,102,
15:07:00.303,26,70,
15:07:00.722,17,45,
15:07:00.725,0,45,
15:07:00.927,0,45,
15:07:01.150,0,45,
15:07:01.353,0,45,
15:07:01.624,0,65,
15:07:01.762,0,80,
15:07:02.583,0,80,
15:07:02.589,0,80,
15:07:02.591,0,80,
15:07:02.601,0,80,
